ward_name,forecast,tier,officers_per_shift,month_num
Chadwell Heath Ward,4.516744,Low,3,1
Highfield Ward,4.507509,Low,3,1
Larkswood Ward,4.4806666,Low,3,1
Fulwell & Hampton Hill Ward,4.4783463,Low,3,1
Wall End Ward,4.4734545,Low,3,1
St. Martin's Ward,4.468713,Low,3,1
Forest Gate North Ward,4.463029,Low,3,1
Beam Park Ward,4.4531984,Low,3,1
Nine Elms Ward,4.448783,Low,3,1
Falconwood & Welling Ward,4.424774,Low,3,1
Northumberland Heath Ward,4.420226,Low,3,1
Mawneys Ward,4.415776,Low,3,1
Kenton Ward,4.411713,Low,3,1
Ravenscourt Ward,4.409742,Low,3,1
Mottingham Ward,4.3979506,Low,3,1
Brentford West Ward,4.396085,Low,3,1
Shadwell Ward,4.38907,Low,3,1
Notting Dale Ward,4.387143,Low,3,1
Norbiton Ward,4.3590307,Low,3,1
Clapham East Ward,4.338438,Low,3,1
Wanstead Park Ward,4.332298,Low,3,1
Pinner Ward,4.3298593,Low,3,1
Poplar Ward,4.304711,Low,3,1
Sutton South Ward,4.2962494,Low,3,1
Carshalton Central Ward,4.292081,Low,3,1
Alexandra Park Ward,4.2539783,Low,3,1
Beddington Ward,4.238456,Low,3,1
Hillingdon East Ward,4.2354836,Low,3,1
Canons Ward,4.2226634,Low,3,1
Lillie Ward,4.2199774,Low,3,1
Gascoigne Ward,4.2196293,Low,3,1
Lady Margaret Ward,4.2162533,Low,3,1
Raynes Park Ward,4.2086873,Low,3,1
Clayhall Ward,4.2070603,Low,3,1
Figge's Marsh Ward,4.203117,Low,3,1
South Beddington & Roundshaw Ward,4.1927786,Low,3,1
New Southgate Ward,4.1903753,Low,3,1
Bickley & Sundridge Ward,4.1856174,Low,3,1
Barnehurst Ward,4.170616,Low,3,1
Dormers Wells Ward,4.168609,Low,3,1
Dalgarno Ward,4.156191,Low,3,1
Coombe Vale Ward,4.1559434,Low,3,1
Norland Ward,4.150365,Low,3,1
Green Street East Ward,4.14637,Low,3,1
St. Helier West Ward,4.137409,Low,3,1
Brentford East Ward,4.1320624,Low,3,1
Becontree Ward,4.1319447,Low,3,1
Purley Oaks & Riddlesdown Ward,4.117901,Low,3,1
Wallington North Ward,4.1167483,Low,3,1
Hainault Ward,4.1097546,Low,3,1
St. Helen's Ward,4.0829887,Low,3,1
Charlton Hornfair Ward,4.0740666,Low,3,1
Hatch Lane & Highams Park North Ward,4.0675626,Low,3,1
Norbury Park Ward,4.0627975,Low,3,1
Peckham Rye Ward,4.01895,Low,3,1
St. Mark's & Seething Wells Ward,3.9962513,Low,3,1
Yeading Ward,3.9876292,Low,3,1
Kenton East Ward,3.9855263,Low,3,1
Canbury Gardens Ward,3.9682188,Very Low,1,1
White City Ward,3.9539704,Very Low,1,1
Charlton Village & Riverside Ward,3.945789,Very Low,1,1
Bounds Green Ward,3.9442463,Very Low,1,1
Wood Street Ward,3.9380527,Very Low,1,1
Park Hill & Whitgift Ward,3.9318852,Very Low,1,1
Aldborough Ward,3.928415,Very Low,1,1
Camden Square Ward,3.9260533,Very Low,1,1
Pimlico South Ward,3.8958561,Very Low,1,1
Royal Albert Ward,3.894458,Very Low,1,1
Heathfield Ward,3.881626,Very Low,1,1
