ward,month,pred1,actual,pred2,abs_diff,rel_diff_pct
Earl's Court,9,6.5935044,12.0,9.481824906215769,2.888320506215769,35.93482225087553
Earl's Court,10,6.627957,11.0,9.481820813301114,2.853863813301114,35.43020700068014
Earl's Court,10,6.627957,11.0,9.481824906215802,2.853867906215802,35.43024881193041
Earl's Court,11,6.668575,7.0,9.48182413420281,2.8132491342028105,34.83813756955392
Earl's Court,11,6.668575,7.0,9.48182490621581,2.81324990621581,34.838145464535195
Earl's Court,12,6.6691165,15.0,9.481824760597316,2.812708260597316,34.830270449430046
Earl's Court,12,6.6691165,15.0,9.481824906215811,2.812708406215811,34.83027193861677
East Acton,1,9.914388,17.0,9.818787843076043,0.09560015692395751,0.9689282423082608
East Acton,1,9.914388,17.0,9.818787547345655,0.09560045265434525,0.9689312541204715
East Acton,2,9.21149,13.0,9.818787625358592,0.6072976253585924,6.382435793257629
East Acton,2,9.21149,13.0,9.818787547345632,0.6072975473456328,6.382434999539346
East Acton,3,9.227996,3.0,9.818787567925256,0.5907915679252564,6.203583569040479
East Acton,3,9.227996,3.0,9.818787547345623,0.5907915473456242,6.2035833596476975
East Acton,4,8.669984,3.0,9.86659095259626,1.1966069525962606,12.910766478234018
East Acton,4,8.669984,3.0,9.81878755277448,1.1488035527744813,12.42704037415713
East Acton,5,8.669984,11.0,9.83139796964323,1.161413969643231,12.554888835319009
East Acton,5,8.669984,11.0,9.818787548777744,1.1488035487777442,12.427040333609286
East Acton,6,8.669984,3.0,9.822114146145234,1.1521301461452342,12.460783379363596
East Acton,6,8.669984,3.0,9.818787547723414,1.1488035477234142,12.427040322912859
East Acton,7,8.7087345,2.0,9.819665096036095,1.110930596036095,11.991651953294053
East Acton,7,8.7087345,2.0,9.818787547445284,1.1100530474452839,11.982747013903529
East Acton,8,8.827207,4.0,9.81901904256057,0.9918120425605697,10.63820679097989
East Acton,8,8.827207,4.0,9.818787547371914,0.9915805473719139,10.635855811849668
East Acton,9,8.858078,8.0,9.818848615221544,0.9607706152215432,10.288316006323255
East Acton,9,8.858078,8.0,9.818787547352558,0.9607095473525575,10.287695704793869
East Acton,10,9.259225,5.0,9.818803656903096,0.5595786569030956,5.86621046614919
East Acton,10,9.259225,5.0,9.818787547347451,0.5595625473474506,5.866046538744419
East Acton,11,9.3923025,10.0,9.818791797007792,0.4264892970077927,4.440031269579685
East Acton,11,9.3923025,10.0,9.818787547346108,0.4264850473461088,4.439988009998683
East Acton,12,9.365168,7.0,9.818788668396191,0.45362066839619075,4.729166941285779
East Acton,12,9.365168,7.0,9.818787547345751,0.4536195473457507,4.729155530268234
East Barnet,1,8.940592,5.0,6.855024993545233,2.0855670064547676,26.406907780899214
East Barnet,1,8.940592,5.0,6.855018890438855,2.085573109561145,26.406995259975048
East Barnet,2,7.7217307,9.0,6.855020702720696,0.8667099972793038,11.891675632439416
East Barnet,2,7.7217307,9.0,6.855018890436838,0.8667118095631619,11.891701976300302
East Barnet,3,7.6714363,7.0,6.85501942858396,0.81641687141604,11.240413858276005
East Barnet,3,7.6714363,7.0,6.85501889043624,0.8164174095637602,11.240421683897992
East Barnet,4,6.090416,6.0,7.195014730815693,1.1045987308156926,16.62872289497644
East Barnet,4,6.090416,6.0,6.855019050236066,0.7646030502360661,11.812705363225675
East Barnet,5,6.090416,7.0,6.955978784455129,0.865562784455129,13.26899574565156
East Barnet,5,6.090416,7.0,6.855018937887741,0.7646029378877408,11.81270373002235
East Barnet,6,6.090416,2.0,6.884998375446666,0.7945823754466659,12.247506745530247
East Barnet,6,6.090416,2.0,6.855018904526524,0.7646029045265239,11.812703245051603
East Barnet,7,6.1300564,2.0,6.863921133551805,0.7338647335518047,11.295459479699568
East Barnet,7,6.1300564,2.0,6.855018894620095,0.7249624946200948,11.166088423383377
East Barnet,8,6.248528,2.0,6.857662362545828,0.6091343625458281,9.295368763856503
East Barnet,8,6.248528,2.0,6.8550188916784345,0.6064908916784342,9.256896574523552
East Barnet,9,6.2793994,6.0,6.8558038549336535,0.5764044549336536,8.776483222170969
East Barnet,9,6.2793994,6.0,6.855018890804925,0.5756194908049252,8.765054958054776
East Barnet,10,7.61082,12.0,6.855251981324408,0.755568018675592,10.44607022073476
East Barnet,10,7.61082,12.0,6.855018890545542,0.7558011094544588,10.44946117778802
East Barnet,11,7.797941,3.0,6.855088105492753,0.9428528945072472,12.869051002619173
East Barnet,11,7.797941,3.0,6.855018890468519,0.942922109531481,12.870056515268761
East Barnet,12,7.770807,5.0,6.855039443466247,0.9157675565337522,12.522592248913563
East Barnet,12,7.770807,5.0,6.855018890445647,0.9157881095543523,12.522890897430864
East Finchley,1,7.397837,7.0,7.952533633085303,0.5546966330853031,7.227143192096509
East Finchley,1,7.397837,7.0,8.11049633768547,0.7126593376854702,9.190663137910478
East Finchley,2,6.6356874,6.0,8.248096341384851,1.6124089413848512,21.666653713887214
East Finchley,2,6.6356874,6.0,8.125131067134106,1.4894436671341058,20.181044438022813
East Finchley,3,6.6356874,15.0,8.018017035156593,1.3823296351565926,18.86662367558283
East Finchley,3,6.6356874,15.0,8.113738735477137,1.4780513354771365,20.04215380179362
East Finchley,4,5.6891603,10.0,9.702005950099988,4.012845650099988,52.144789873527856
East Finchley,4,5.6891603,10.0,8.197121115840638,2.5079608158406375,36.1214171128594
East Finchley,5,5.6891603,4.0,6.886228400466074,1.1970681004660735,19.038267984856915
East Finchley,5,5.6891603,4.0,8.057698443530194,2.368538143530194,34.45933631412224
East Finchley,6,5.6891603,5.0,9.07815629570071,3.38899599570071,45.89860281978876
East Finchley,6,5.6891603,5.0,8.166231322736206,2.4770710227362054,35.75605930432771
East Finchley,7,5.728801,6.0,7.371861031526736,1.643060031526736,25.08361833276384
East Finchley,7,5.728801,6.0,8.081744447871847,2.352943447871847,34.07459114128511
East Finchley,8,5.8472724,6.0,8.700118012457613,2.852845612457614,39.22140716062158
East Finchley,8,5.8472724,6.0,8.147512831393643,2.300240431393643,32.87282217427182
