ward,mae,rmse,smape,mase
South Bermondsey,3.730098728276406,4.478392226069542,32.03416617878637,1.443909185139254
South Chafford,0.0,0.0,0.0,
South Croydon,2.7644712168051755,3.630697852369293,44.077541300373156,0.6143269370678168
South Ham,0.0,0.0,0.0,
South Hampstead,4.892207139459348,6.361495361098997,59.8945311099701,1.0299383451493365
South Hornchurch,2.400006198071646,2.871285398727876,85.78256719586804,0.9290346573180565
South Norwood,2.2887330499486964,2.9328718276612733,41.801199921394996,0.6539237285567704
South Richmond,2.778927074876415,3.9826224555945218,27.24393896043801,0.5850372789213506
South Ruislip,3.0612378035721406,3.7375776899526647,51.415356657842594,0.7653094508930351
South Tottenham,3.817595687771226,4.45310930115707,43.01735102876731,0.9747052819841429
South Twickenham,2.0045467796348255,2.392555659036146,57.19913289741713,0.7517050423630596
South Woodford,3.1365753724082643,4.201883451906239,63.78936563767682,0.8554296470204358
Southall Broadway,2.1559684684684686,2.6122621308872302,29.726852686642108,0.7609300476947536
Southall Green,3.65399401349747,4.607125653117478,40.46112200789651,0.8119986696661045
Southall West,1.1293675330443493,1.346710526034841,123.79428257767213,0.847025649783262
Southbury,2.601942346564193,3.1120020801508375,35.15789966283072,0.6504855866410483
Southcote,0.0,0.0,0.0,
Southfield,2.5408526604367956,3.421165448370647,45.775204463151795,0.7622557981310386
Southfields,5.810268760185771,5.967612482974018,101.5667397027572,1.7430806280557312
Southgate,2.2233506749174268,2.6473666849986306,41.51360713579981,0.8606518741615845
Southwater North,0.0,0.0,0.0,
Spitalfields & Banglatown,4.43308930702475,5.519044511737043,31.62470322014653,0.6733806542316076
Springfield,3.843474366112705,4.387770574059596,45.440626539991996,1.3177626398100704
