ward,month,forecast
Beam Park,2025-12-01,5.549500485013105
Beam Park,2026-01-01,5.5572943010314235
Beam Park,2026-02-01,5.556672447673756
Beam Park,2026-03-01,5.553896337731996
Beauchief and Greenhill,2025-04-01,0.0
Beauchief and Greenhill,2025-05-01,0.0
Beauchief and Greenhill,2025-06-01,0.0
Beauchief and Greenhill,2025-07-01,0.0
Beauchief and Greenhill,2025-08-01,0.0
Beauchief and Greenhill,2025-09-01,0.0
Beauchief and Greenhill,2025-10-01,0.0
Beauchief and Greenhill,2025-11-01,0.0
Beauchief and Greenhill,2025-12-01,0.0
Beauchief and Greenhill,2026-01-01,0.0
Beauchief and Greenhill,2026-02-01,0.0
Beauchief and Greenhill,2026-03-01,0.0
Beckenham Town & Copers Cope,2025-04-01,8.444752487240093
Beckenham Town & Copers Cope,2025-05-01,8.598433133110333
Beckenham Town & Copers Cope,2025-06-01,8.651536244599724
Beckenham Town & Copers Cope,2025-07-01,8.669885597791769
Beckenham Town & Copers Cope,2025-08-01,8.676226069246699
Beckenham Town & Copers Cope,2025-09-01,8.678416968176489
Beckenham Town & Copers Cope,2025-10-01,8.679174015685444
Beckenham Town & Copers Cope,2025-11-01,8.679435607365015
Beckenham Town & Copers Cope,2025-12-01,8.679525998266525
Beckenham Town & Copers Cope,2026-01-01,8.67955723211574
Beckenham Town & Copers Cope,2026-02-01,8.679568024721197
Beckenham Town & Copers Cope,2026-03-01,8.679571754019234
Beckton,2025-04-01,3.3121503979350253
Beckton,2025-05-01,3.5375991405854434
Beckton,2025-06-01,3.576334894994879
Beckton,2025-07-01,3.582990326522367
Beckton,2025-08-01,3.5841338377174474
Beckton,2025-09-01,3.584330311506994
Beckton,2025-10-01,3.5843640688940184
Beckton,2025-11-01,3.5843698689611996
Beckton,2025-12-01,3.584370865506912
Beckton,2026-01-01,3.5843710367296455
Beckton,2026-02-01,3.584371066148491
Beckton,2026-03-01,3.5843710712031265
Becontree,2025-04-01,2.27699962695214
Becontree,2025-05-01,2.27699962695214
Becontree,2025-06-01,2.27699962695214
Becontree,2025-07-01,2.27699962695214
Becontree,2025-08-01,2.27699962695214
Becontree,2025-09-01,2.27699962695214
Becontree,2025-10-01,2.27699962695214
Becontree,2025-11-01,2.27699962695214
Becontree,2025-12-01,2.27699962695214
Becontree,2026-01-01,2.27699962695214
Becontree,2026-02-01,2.27699962695214
Becontree,2026-03-01,2.27699962695214
Beddington,2025-04-01,3.392917647104247
Beddington,2025-05-01,3.591349540362756
Beddington,2025-06-01,3.6196176984581134
Beddington,2025-07-01,3.6236447162372722
Beddington,2025-08-01,3.6242183960695047
Beddington,2025-09-01,3.624300121199106
Beddington,2025-10-01,3.624311763575974
Beddington,2025-11-01,3.6243134221226145
Beddington,2025-12-01,3.6243136583954128
Beddington,2026-01-01,3.6243136920543004
Beddington,2026-02-01,3.6243136968492693
Beddington,2026-03-01,3.6243136975323496
Bedfont,2025-04-01,5.555213247425198
Bedfont,2025-05-01,5.338046513258431
