ward_name,forecast,tier,officers_per_shift,month_num
Wendell Park Ward,4.3232946,Low,3,1
Carshalton Central Ward,4.316803,Low,3,1
Norland Ward,4.309913,Low,3,1
Shirley South Ward,4.309489,Low,3,1
Shooters Hill Ward,4.305703,Low,3,1
Middle Park & Horn Park Ward,4.2993355,Very Low,1,1
South Twickenham Ward,4.293416,Very Low,1,1
Eltham Page Ward,4.289969,Very Low,1,1
Forest Gate North Ward,4.2866545,Very Low,1,1
Boleyn Ward,4.2711287,Very Low,1,1
Parsons Green & Sandford Ward,4.2696114,Very Low,1,1
Hampton North Ward,4.268469,Very Low,1,1
Cathall Ward,4.2633953,Very Low,1,1
Heathfield Ward,4.253879,Very Low,1,1
Longthornton Ward,4.2331977,Very Low,1,1
Island Gardens Ward,4.2181544,Very Low,1,1
Sutton North Ward,4.1971436,Very Low,1,1
Abbey Ward (E05014053),4.196278,Very Low,1,1
White City Ward,4.164451,Very Low,1,1
St. Helier Ward,4.162912,Very Low,1,1
Oakwood Ward,4.1512437,Very Low,1,1
Hatch End Ward,4.1503596,Very Low,1,1
St. Helier West Ward,4.1366706,Very Low,1,1
Norbiton Ward,4.135287,Very Low,1,1
Wembley Central Ward,4.135042,Very Low,1,1
Merton Park Ward,4.1321564,Very Low,1,1
Lillie Ward,4.1291575,Very Low,1,1
Canning Town South Ward,4.128487,Very Low,1,1
Monkhams Ward,4.126058,Very Low,1,1
Purley Oaks & Riddlesdown Ward,4.102843,Very Low,1,1
Streatham Wells Ward,4.101074,Very Low,1,1
Thamesmead East Ward,4.099297,Very Low,1,1
Hale End & Highams Park South Ward,4.0827475,Very Low,1,1
Cannon Hill Ward,4.066866,Very Low,1,1
Cheam Ward,4.038648,Very Low,1,1
Pollards Hill Ward,3.985167,Very Low,1,1
Charville Ward,3.9551032,Very Low,1,1
West Thamesmead Ward,3.9399526,Very Low,1,1
Dalgarno Ward,3.9398785,Very Low,1,1
Slade Green & Northend Ward,3.9307861,Very Low,1,1
